k,bic,aic,silhouette,mean_max_membership_probability,share_membership_probability_ge_0_9
6,-210162.23076159306,-211646.00720314827,0.06613962045024308,0.9993331452644971,0.9981005586592179
5,-157262.3866358539,-158497.6837690147,0.09031759540427883,0.9968902416668288,0.9909497206703911
4,-100141.66361006384,-101128.48143483022,0.037645634587693044,0.9997930047265274,0.9993296089385475
3,-50791.29363397544,-51529.6321503474,0.0784141430792364,0.9999999999999922,1.0
2,145987.00484316307,145497.14563518553,0.13369777249675585,0.9999999999987516,1.0
