preprocessing,k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_share,fit_seconds
log_robust,3,0.39160509141777133,3511.255588660359,1.0622245736974383,0.13854748603351955,0.07527920001302846
log_robust,2,0.3496577650427486,3013.149505425479,1.5946635012465462,0.27787709497206703,0.04731629998423159
log_robust,5,0.2673590047429878,3151.9174765252137,1.1893380398919966,0.06614525139664805,0.08323920000111684
log_robust,4,0.2565750347360692,3279.841089451173,1.314266010364571,0.13318435754189945,0.06960859999526292
log_standard_pca95,2,0.2565200209836391,3241.6957198488544,1.4567854420452897,0.3527374301675978,0.0665766000165604
log_robust,8,0.24878062944649781,2595.559749490151,1.2993930650865846,0.04424581005586592,0.14386280000326224
log_robust,7,0.2473587497107349,2749.1505860690736,1.351556809824762,0.04402234636871508,0.12549929998931475
log_standard,2,0.2462605230821212,3064.874283102877,1.506310443448038,0.3534078212290503,0.0665488000086043
raw_standard,3,0.24553439864585863,1605.0854957869378,1.59684782274347,0.13798882681564245,0.09076669998466969
log_robust,6,0.24522036335937214,2890.8211248717657,1.303796516308394,0.06569832402234636,0.11859719999483787
log_standard_pca95,3,0.2337012127204398,2821.1959817877073,1.62626543846695,0.3205586592178771,0.0746352999994997
log_standard_pca95,7,0.23185741414614922,2020.0074147651706,1.3610554411921414,0.05385474860335195,0.12533030001213774
log_standard_pca95,5,0.23022151078593148,2300.3211762624264,1.5387718366520169,0.14849162011173184,0.09897250001085922
log_standard_pca95,6,0.22747650540267933,2185.460101017053,1.401299030509188,0.11284916201117319,0.13926809999975376
log_standard_pca95,4,0.22702069423096183,2430.8939635206802,1.6305267095394518,0.17497206703910614,0.10039730000426061
log_standard,3,0.2233599880845045,2642.884977941022,1.6812384743441697,0.32078212290502794,0.08747659999062307
log_standard_pca95,8,0.22135257004361414,1907.5193367208954,1.4007473186492618,0.04625698324022346,0.1337960000091698
log_standard,7,0.21918924434870268,1847.0279283991288,1.4206154997141132,0.05418994413407821,0.12997310000355355
log_standard,5,0.21852648714017142,2129.6494800921296,1.5984441475560838,0.1557541899441341,0.13355839997529984
raw_standard,8,0.2170615239400789,1331.9734431718412,1.369689019379109,0.002793296089385475,0.1307669000234455
log_standard,4,0.21607581524292055,2260.3704123558146,1.6876036943106298,0.17541899441340783,0.11905999999726191
log_standard,6,0.21582893444123774,2009.4100442259912,1.4660047061244343,0.11262569832402235,0.1307018000225071
log_standard,8,0.20816703615070728,1733.3393080336114,1.4576144441864525,0.04893854748603352,0.1625979000236839
raw_standard,7,0.2080843489908174,1361.823873725015,1.3968758899719724,0.009608938547486033,0.12363380001625046
raw_standard,2,0.2056759290031406,1706.1789570848675,1.9119791831587558,0.4141899441340782,1.660781800019322
raw_standard,6,0.1965773892432115,1419.6993638910458,1.5064220213928046,0.009608938547486033,0.11015150000457652
raw_standard,4,0.19124810180995228,1598.0768763697033,1.5748369902985795,0.045698324022346366,0.12701450000167824
raw_standard,5,0.18571056474613956,1482.6681873179414,1.549203869382753,0.009497206703910615,0.11591140000382438
