model,fit_seconds,inference_ms_per_1000,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_f2,val_roc_auc,val_pr_auc,val_tn,val_fp,val_fn,val_tp,test_threshold,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_f2,test_roc_auc,test_pr_auc,test_tn,test_fp,test_fn,test_tp
Diverse_ensemble,3.8055470999970566,1.5758238730199023,0.425,0.6829667297382529,0.28574144486692016,0.8504739001273165,0.6558499553438524,0.42776334981678465,0.6095384864952551,0.8285245849901665,0.42946246477524697,28639,15028,1057,6012,0.425,0.6783940397350994,0.2814124988181904,0.842127599377564,0.6518881535255456,0.42185451582043015,0.6021646773214647,0.8265461510209164,0.42406438628494114,28466,15201,1116,5953
LGBM_balanced,0.9752140000055078,1.3845514037778666,0.455,0.69830100914538,0.2936579501051999,0.8292544914415052,0.677101701513729,0.43372424253634717,0.6076122558978398,0.8291220217900411,0.43181327492522403,29567,14100,1207,5862,0.455,0.6954627877641123,0.29051284614615613,0.8221813552129014,0.6749490461904871,0.42932594644506,0.6018806180357069,0.827071960714732,0.42668745706107214,29473,14194,1257,5812
LGBM_majority_dedup,0.9317034999839962,1.593911620847824,0.435,0.6898651844843898,0.28886073482116753,0.8385910312632622,0.6657888107724369,0.42970533869740135,0.6074019427025698,0.8291068362604324,0.43311986858548845,29073,14594,1141,5928,0.435,0.6870466729738253,0.28632416436229563,0.8349130004243882,0.6631094419126572,0.4264142764251138,0.6036122645175807,0.8269953365570628,0.4264042224217552,28956,14711,1167,5902
Logistic_balanced,2.830333099991549,0.19127246924203584,0.41,0.6749448123620309,0.2800728189329226,0.8487763474324516,0.6468042228685277,0.4211708549768356,0.6036338759331173,0.8226871734606975,0.4052289751577224,28244,15423,1069,6000,0.41,0.6706283506780195,0.27626693892704657,0.842127599377564,0.6428653216387661,0.41604640598245796,0.5974028580603725,0.820652613774013,0.39969127765256396,28072,15595,1116,5953
RF_balanced,1.757361600000877,2.1305029962675306,0.22999999999999998,0.6785911384421318,0.280089506760617,0.8322252086575187,0.6537202006091557,0.4191215758914259,0.5968952922077922,0.8156007500961597,0.40356568975181545,28546,15121,1186,5883,0.22999999999999998,0.6761076947335225,0.2775771971496437,0.8265666996746357,0.6517507499942748,0.4155908816102991,0.5922839881604022,0.8128710073926138,0.3967000730496237,28460,15207,1226,5843
RF_baseline,1.9208738000015728,2.1312953322194517,0.5,0.8651253547776726,0.5569556451612904,0.15631631065214316,0.9798703826688346,0.24411797194300233,0.18258426966292135,0.8169003852226275,0.4147348369002775,42788,879,5964,1105,0.5,0.8654604225796279,0.5643197458973002,0.15079926439383223,0.9811528156273617,0.23799955347175708,0.17669484501906182,0.8156820246704162,0.40943572941371265,42844,823,6003,1066
